"","target_id","ext_gene","2dpi-0dpi","4dpi-0dpi","7dpi-0dpi","12dpi-0dpi"
"278","ENSDART00000044986","rnd1a",-1,0,-1,0
"279","ENSDART00000167726","RYR2",-1,-1,0,0
"280","ENSDART00000160604","ftsj3",1,1,1,0
"281","ENSDART00000132027","spock2",-1,-1,0,0
"282","ENSDART00000078866","ifi30",1,1,0,0
"283","ENSDART00000066471","adam8b",1,1,1,0
"284","ENSDART00000122389","elmod1",-1,-1,0,0
"285","ENSDART00000052029","cart3",-1,-1,-1,-1
"286","ENSDART00000158489","zgc:77058",-1,0,0,1
"287","ENSDART00000062257","slc39a1",1,1,0,0
"288","ENSDART00000135897","tmeff2a",-1,-1,-1,0
"289","ENSDART00000145220","arvcfa",-1,-1,-1,0
"290","ENSDART00000037007","tpi1a",-1,-1,-1,0
"291","ENSDART00000052421","txnipa",1,1,1,0
"292","ENSDART00000151358","rgl3a",-1,-1,-1,-1
"293","ENSDART00000168608","rnaset2",1,1,0,0
"294","ENSDART00000122945","noc2l",1,1,1,0
"295","ENSDART00000113924","lrrc7",-1,-1,-1,0
"296","ENSDART00000171749","TMEM150A (1 of many)",-1,-1,-1,0
"297","ENSDART00000162601","scn2b",-1,-1,-1,0
"298","ENSDART00000115244","MEX3A",1,1,1,1
"299","ENSDART00000138308","gpr186",-1,-1,-1,-1
"300","ENSDART00000163174","si:ch73-42p12.2",1,1,1,0
"301","ENSDART00000136722","cdkn1a",1,1,0,0
"302","ENSDART00000067514","rbpms2a",-1,-1,0,0
"303","ENSDART00000163539","scrt1a",-1,0,0,1
"304","ENSDART00000131204","asap1b",-1,-1,-1,0
"305","ENSDART00000132982","leng9",1,1,1,0
"306","ENSDART00000162282","dicp3.1",1,0,0,0
"307","ENSDART00000099872","slc17a6b",-1,0,0,0
"308","ENSDART00000090528","rhoca",1,1,1,0
"309","ENSDART00000164305","dicp1.1",1,0,0,0
"310","ENSDART00000136830","stmn4l",1,1,1,1
"311","ENSDART00000100322","kcnh5b",-1,-1,0,0
"312","ENSDART00000077715","si:dkey-25e12.3",1,1,1,0
"313","ENSDART00000082264","pxdc1b",1,1,1,0
"314","ENSDART00000156705","si:dkeyp-72g9.4",-1,-1,-1,0
"315","ENSDART00000105174","stm",1,0,0,0
"316","ENSDART00000100658","esrra",-1,-1,0,0
